task_id,title,description,created_by,assigned_to,category,created_at,due_date,est_duration_minutes,actual_duration_minutes,priority_level,priority_score,completed_on_time,urgency_keywords,creator_role,status
192,Testing task #192,Urgently work on testing for project #20.,user_3,user_9,Testing,2025-09-11,2025-09-13,100,153,High,82.85,True,Yes,Developer,Done
193,Design task #193,Please work on design for project #47.,user_10,user_7,Design,2025-09-23,2025-10-01,239,323,Medium,43.21,True,No,Team Lead,Done
194,Meeting task #194,Urgently work on meeting for project #33.,user_10,user_7,Meeting,2025-09-21,2025-09-22,98,171,Medium,51.31,True,Yes,Developer,Done
195,Development task #195,Please work on development for project #9.,user_3,user_1,Development,2025-09-28,2025-10-08,407,489,Medium,42.6,True,No,Team Lead,Done
196,Bug Fixing task #196, work on bug fixing for project #24.,user_4,user_6,Bug Fixing,2025-09-13,2025-09-23,76,85,Medium,45.78,True,No,Developer,Done
197,Meeting task #197,Urgently work on meeting for project #16.,user_8,user_2,Meeting,2025-09-17,2025-09-23,263,313,Medium,56.74,True,Yes,Team Lead,Done
198,Bug Fixing task #198,Urgently work on bug fixing for project #50.,user_1,user_3,Bug Fixing,2025-09-17,2025-09-24,347,347,High,72.31,True,Yes,QA Engineer,Done
199,Meeting task #199,Kindly work on meeting for project #5.,user_8,user_4,Meeting,2025-09-23,2025-10-01,162,163,Medium,40.87,True,No,Developer,Done
200,Design task #200,Please work on design for project #36.,user_3,user_8,Design,2025-09-26,2025-10-02,401,459,Low,22.86,True,No,Manager,Done
201,Testing task #201,Kindly work on testing for project #8.,user_5,user_5,Testing,2025-09-23,2025-09-26,466,528,Medium,45.37,True,No,Team Lead,Done
202,Documentation task #202,Urgently work on documentation for project #30.,user_3,user_4,Documentation,2025-09-01,2025-09-07,343,459,High,78.41,True,Yes,QA Engineer,Done
203,Testing task #203, work on testing for project #50.,user_3,user_10,Testing,2025-09-03,2025-09-08,263,355,Medium,56.25,True,No,Manager,Done
204,Design task #204,Urgently work on design for project #9.,user_10,user_2,Design,2025-09-11,2025-09-13,290,379,High,85.81,True,Yes,Team Lead,Done
205,Testing task #205,Kindly work on testing for project #20.,user_10,user_3,Testing,2025-09-14,2025-09-23,88,89,Low,19.33,True,No,Team Lead,Done
206,Documentation task #206,Urgently work on documentation for project #13.,user_3,user_6,Documentation,2025-09-12,2025-09-21,205,195,Medium,55.93,True,Yes,Team Lead,Done
207,Development task #207,Please work on development for project #33.,user_9,user_5,Development,2025-09-21,2025-09-26,374,480,Medium,47.73,True,No,Team Lead,Done
208,Development task #208,Please work on development for project #2.,user_3,user_10,Development,2025-09-06,2025-09-16,428,484,Medium,47.71,True,No,Team Lead,Done
209,Bug Fixing task #209, work on bug fixing for project #40.,user_1,user_10,Bug Fixing,2025-09-21,2025-09-25,452,568,Medium,47.73,True,No,Developer,Done
210,Development task #210, work on development for project #20.,user_1,user_8,Development,2025-09-21,2025-09-26,307,339,High,97.79,True,No,Developer,Done
211,Design task #211,Kindly work on design for project #22.,user_2,user_1,Design,2025-09-15,2025-09-22,307,395,Medium,48.56,True,No,Team Lead,Done
212,Testing task #212,Urgently work on testing for project #33.,user_3,user_6,Testing,2025-09-24,2025-09-30,264,267,High,87.03,True,Yes,Developer,Done
213,Testing task #213,Kindly work on testing for project #10.,user_2,user_6,Testing,2025-09-15,2025-09-17,196,281,Medium,54.31,True,No,Team Lead,Done
214,Bug Fixing task #214,Kindly work on bug fixing for project #21.,user_1,user_5,Bug Fixing,2025-09-28,2025-10-08,274,307,Medium,49.77,True,No,QA Engineer,Done
215,Testing task #215,Urgently work on testing for project #32.,user_6,user_4,Testing,2025-09-16,2025-09-25,299,396,Medium,65.27,True,Yes,Team Lead,Done
216,Bug Fixing task #216,Please work on bug fixing for project #4.,user_2,user_7,Bug Fixing,2025-09-08,2025-09-12,358,418,Medium,51.38,True,No,QA Engineer,Done
217,Meeting task #217, work on meeting for project #9.,user_8,user_10,Meeting,2025-09-10,2025-09-19,64,61,Low,28.41,True,No,QA Engineer,Done
218,Meeting task #218,Kindly work on meeting for project #24.,user_6,user_7,Meeting,2025-09-02,2025-09-09,86,201,Low,36.45,True,No,Developer,Done
219,Testing task #219,Urgently work on testing for project #40.,user_5,user_2,Testing,2025-09-17,2025-09-25,451,561,Medium,62.72,True,Yes,QA Engineer,Done
220,Development task #220,Urgently work on development for project #49.,user_10,user_2,Development,2025-09-04,2025-09-11,251,307,High,71.23,True,Yes,Team Lead,Done
221,Documentation task #221,Kindly work on documentation for project #46.,user_4,user_10,Documentation,2025-09-17,2025-09-18,83,62,High,74.72,True,No,QA Engineer,Done
222,Meeting task #222,Urgently work on meeting for project #40.,user_8,user_9,Meeting,2025-09-05,2025-09-15,323,328,Medium,41.99,True,Yes,QA Engineer,Done
223,Meeting task #223, work on meeting for project #46.,user_3,user_7,Meeting,2025-09-19,2025-09-25,319,419,Medium,50.29,True,No,Developer,Done
224,Testing task #224, work on testing for project #38.,user_5,user_8,Testing,2025-09-12,2025-09-18,404,402,Low,15.81,True,No,Manager,Done
225,Meeting task #225,Please work on meeting for project #38.,user_1,user_10,Meeting,2025-09-09,2025-09-19,355,383,Low,32.92,True,No,QA Engineer,Done
226,Design task #226,Please work on design for project #13.,user_3,user_9,Design,2025-09-05,2025-09-09,76,192,Medium,56.33,True,No,QA Engineer,Done
227,Bug Fixing task #227, work on bug fixing for project #33.,user_8,user_6,Bug Fixing,2025-09-05,2025-09-12,413,435,Medium,40.96,True,No,QA Engineer,Done
228,Testing task #228, work on testing for project #34.,user_8,user_1,Testing,2025-09-17,2025-09-21,347,400,Low,23.83,True,No,Team Lead,Done
229,Design task #229,Urgently work on design for project #44.,user_6,user_3,Design,2025-09-30,2025-10-09,235,344,Medium,59.27,True,Yes,QA Engineer,Done
230,Development task #230,Urgently work on development for project #15.,user_5,user_10,Development,2025-09-07,2025-09-11,202,314,High,80.19,True,Yes,QA Engineer,Done
231,Meeting task #231,Urgently work on meeting for project #19.,user_5,user_4,Meeting,2025-09-11,2025-09-19,238,351,Medium,59.04,True,Yes,QA Engineer,Done
232,Bug Fixing task #232,Kindly work on bug fixing for project #19.,user_10,user_9,Bug Fixing,2025-09-29,2025-10-06,479,537,Medium,43.25,True,No,QA Engineer,Done
233,Bug Fixing task #233, work on bug fixing for project #14.,user_5,user_2,Bug Fixing,2025-09-30,2025-10-08,395,430,Medium,40.68,True,No,Developer,Done
234,Documentation task #234,Kindly work on documentation for project #16.,user_9,user_5,Documentation,2025-09-05,2025-09-07,375,495,Low,30.23,True,No,Developer,Done
235,Bug Fixing task #235, work on bug fixing for project #7.,user_9,user_4,Bug Fixing,2025-09-02,2025-09-04,271,325,High,72.16,True,No,Team Lead,Done
236,Development task #236,Urgently work on development for project #21.,user_3,user_1,Development,2025-09-14,2025-09-22,304,325,High,79.51,True,Yes,Team Lead,Done
237,Meeting task #237,Kindly work on meeting for project #3.,user_1,user_2,Meeting,2025-09-18,2025-09-19,149,225,Low,9.62,True,No,Team Lead,Done
238,Design task #238,Please work on design for project #22.,user_8,user_3,Design,2025-09-29,2025-09-30,64,110,Medium,42.8,True,No,Developer,Done
239,Meeting task #239,Urgently work on meeting for project #13.,user_8,user_9,Meeting,2025-09-29,2025-10-02,318,407,Medium,60.07,True,Yes,QA Engineer,Done
240,Bug Fixing task #240,Please work on bug fixing for project #48.,user_6,user_3,Bug Fixing,2025-09-21,2025-09-26,427,444,Medium,52.79,True,No,QA Engineer,Done
241,Meeting task #241, work on meeting for project #33.,user_5,user_10,Meeting,2025-09-06,2025-09-16,387,460,Low,28.11,True,No,Team Lead,Done
242,Meeting task #242,Kindly work on meeting for project #1.,user_2,user_7,Meeting,2025-09-06,2025-09-09,304,356,Low,38.28,True,No,Manager,Done
243,Meeting task #243,Please work on meeting for project #17.,user_7,user_4,Meeting,2025-09-25,2025-09-30,228,275,Medium,47.57,True,No,QA Engineer,Done
244,Development task #244,Kindly work on development for project #26.,user_6,user_4,Development,2025-09-22,2025-09-24,298,346,Medium,52.99,True,No,Manager,Done
245,Development task #245,Kindly work on development for project #9.,user_9,user_5,Development,2025-09-21,2025-09-26,248,274,Low,22.0,True,No,Manager,Done
246,Design task #246,Kindly work on design for project #49.,user_3,user_8,Design,2025-09-14,2025-09-23,301,408,Low,34.98,True,No,Developer,Done
247,Documentation task #247,Please work on documentation for project #4.,user_10,user_2,Documentation,2025-09-17,2025-09-23,99,213,Low,32.88,True,No,QA Engineer,Done
248,Testing task #248,Please work on testing for project #44.,user_9,user_4,Testing,2025-09-06,2025-09-12,326,409,Low,30.2,True,No,Team Lead,Done
249,Documentation task #249, work on documentation for project #9.,user_10,user_8,Documentation,2025-09-29,2025-10-08,288,272,Medium,66.48,True,No,Manager,Done
250,Testing task #250,Please work on testing for project #26.,user_7,user_8,Testing,2025-09-18,2025-09-26,404,452,Medium,46.07,True,No,Manager,Done
251,Meeting task #251,Please work on meeting for project #5.,user_1,user_4,Meeting,2025-09-02,2025-09-09,236,222,Low,21.09,True,No,Manager,Done
252,Design task #252,Urgently work on design for project #25.,user_1,user_5,Design,2025-09-06,2025-09-09,452,529,High,83.77,True,Yes,QA Engineer,Done
253,Design task #253,Please work on design for project #12.,user_7,user_7,Design,2025-09-22,2025-10-01,128,187,High,71.83,True,No,Manager,Done
254,Testing task #254,Urgently work on testing for project #30.,user_7,user_9,Testing,2025-09-24,2025-09-28,61,36,High,85.49,True,Yes,Team Lead,Done
255,Development task #255,Urgently work on development for project #10.,user_9,user_7,Development,2025-09-27,2025-10-01,186,273,Medium,47.21,True,Yes,QA Engineer,Done
256,Meeting task #256,Kindly work on meeting for project #14.,user_4,user_2,Meeting,2025-09-26,2025-10-03,374,348,Low,32.74,True,No,Manager,Done
257,Bug Fixing task #257,Kindly work on bug fixing for project #48.,user_2,user_10,Bug Fixing,2025-09-15,2025-09-25,404,386,Medium,59.0,True,No,Manager,Done
258,Bug Fixing task #258,Kindly work on bug fixing for project #33.,user_7,user_8,Bug Fixing,2025-09-18,2025-09-22,446,430,Low,29.38,True,No,Team Lead,Done
259,Meeting task #259,Kindly work on meeting for project #20.,user_4,user_10,Meeting,2025-09-19,2025-09-29,455,507,Medium,46.66,True,No,Developer,Done
260,Documentation task #260,Kindly work on documentation for project #41.,user_9,user_4,Documentation,2025-09-10,2025-09-15,91,203,Medium,51.62,True,No,QA Engineer,Done
261,Development task #261,Urgently work on development for project #45.,user_7,user_9,Development,2025-09-02,2025-09-08,389,456,Medium,56.1,True,Yes,QA Engineer,Done
262,Design task #262, work on design for project #16.,user_7,user_3,Design,2025-09-13,2025-09-16,446,553,Low,39.11,True,No,Developer,Done
263,Documentation task #263, work on documentation for project #36.,user_5,user_3,Documentation,2025-09-30,2025-10-01,347,422,Low,0.0,True,No,QA Engineer,Done
264,Testing task #264, work on testing for project #24.,user_3,user_7,Testing,2025-09-09,2025-09-13,229,219,Low,24.63,True,No,Team Lead,Done
265,Bug Fixing task #265,Please work on bug fixing for project #13.,user_9,user_4,Bug Fixing,2025-09-09,2025-09-16,404,384,Low,36.21,True,No,Manager,Done
266,Testing task #266,Kindly work on testing for project #13.,user_9,user_4,Testing,2025-09-07,2025-09-13,215,188,Low,21.28,True,No,QA Engineer,Done
267,Development task #267, work on development for project #16.,user_2,user_8,Development,2025-09-23,2025-10-03,420,442,Medium,64.49,True,No,Team Lead,Done
268,Testing task #268,Urgently work on testing for project #17.,user_6,user_5,Testing,2025-09-15,2025-09-24,392,453,Medium,48.55,True,Yes,QA Engineer,Done
269,Meeting task #269,Kindly work on meeting for project #24.,user_9,user_8,Meeting,2025-09-04,2025-09-12,449,500,Low,33.4,True,No,QA Engineer,Done
270,Meeting task #270, work on meeting for project #19.,user_7,user_1,Meeting,2025-09-24,2025-09-27,68,104,Medium,41.96,True,No,Team Lead,Done
271,Documentation task #271,Urgently work on documentation for project #17.,user_4,user_6,Documentation,2025-09-13,2025-09-23,185,282,High,91.62,True,Yes,Team Lead,Done
272,Design task #272, work on design for project #12.,user_8,user_8,Design,2025-09-24,2025-09-30,146,151,Low,18.46,True,No,Team Lead,Done
273,Testing task #273,Please work on testing for project #27.,user_1,user_9,Testing,2025-09-27,2025-09-29,478,460,Medium,57.45,True,No,Manager,Done
274,Documentation task #274,Urgently work on documentation for project #4.,user_4,user_2,Documentation,2025-09-01,2025-09-05,318,404,High,70.15,True,Yes,Team Lead,Done
275,Testing task #275, work on testing for project #1.,user_10,user_8,Testing,2025-09-01,2025-09-02,332,443,Low,25.28,True,No,QA Engineer,Done
276,Bug Fixing task #276,Kindly work on bug fixing for project #7.,user_9,user_5,Bug Fixing,2025-09-01,2025-09-10,476,556,Medium,46.93,True,No,Developer,Done
277,Bug Fixing task #277,Urgently work on bug fixing for project #18.,user_9,user_3,Bug Fixing,2025-09-07,2025-09-17,329,363,High,72.99,True,Yes,Team Lead,Done
278,Design task #278,Urgently work on design for project #44.,user_2,user_6,Design,2025-09-15,2025-09-25,184,211,Medium,61.0,True,Yes,QA Engineer,Done
279,Bug Fixing task #279,Please work on bug fixing for project #41.,user_1,user_2,Bug Fixing,2025-09-13,2025-09-20,342,433,Medium,41.05,True,No,QA Engineer,Done
280,Bug Fixing task #280,Please work on bug fixing for project #34.,user_3,user_2,Bug Fixing,2025-09-28,2025-10-05,390,444,Low,34.22,True,No,QA Engineer,Done
281,Bug Fixing task #281,Please work on bug fixing for project #12.,user_4,user_4,Bug Fixing,2025-09-09,2025-09-10,98,139,Medium,41.7,True,No,QA Engineer,Done
282,Meeting task #282,Kindly work on meeting for project #37.,user_1,user_4,Meeting,2025-09-25,2025-10-02,99,145,Medium,49.93,True,No,Team Lead,Done
283,Documentation task #283,Urgently work on documentation for project #4.,user_10,user_7,Documentation,2025-09-13,2025-09-16,464,454,High,93.79,True,Yes,Developer,Done
284,Bug Fixing task #284,Urgently work on bug fixing for project #2.,user_7,user_4,Bug Fixing,2025-09-11,2025-09-21,453,524,Medium,51.43,True,Yes,Manager,Done
285,Development task #285, work on development for project #12.,user_5,user_8,Development,2025-09-08,2025-09-14,343,409,High,72.0,True,No,QA Engineer,Done
286,Development task #286,Please work on development for project #6.,user_10,user_7,Development,2025-09-25,2025-10-05,211,244,Low,10.72,True,No,Manager,Done
287,Meeting task #287,Please work on meeting for project #6.,user_3,user_7,Meeting,2025-09-24,2025-10-01,222,284,Low,37.72,True,No,Team Lead,Done
288,Bug Fixing task #288,Please work on bug fixing for project #12.,user_5,user_8,Bug Fixing,2025-09-25,2025-09-30,112,115,Medium,48.82,True,No,Developer,Done
289,Design task #289,Please work on design for project #39.,user_8,user_9,Design,2025-09-04,2025-09-05,105,165,Medium,44.21,True,No,QA Engineer,Done
290,Testing task #290,Kindly work on testing for project #37.,user_6,user_7,Testing,2025-09-10,2025-09-17,258,249,Low,30.66,True,No,Manager,Done
291,Testing task #291, work on testing for project #10.,user_3,user_7,Testing,2025-09-05,2025-09-10,214,252,Low,36.88,True,No,Team Lead,Done
292,Bug Fixing task #292,Urgently work on bug fixing for project #17.,user_3,user_7,Bug Fixing,2025-09-14,2025-09-19,307,296,Medium,62.6,True,Yes,Developer,Done
293,Documentation task #293,Please work on documentation for project #26.,user_8,user_10,Documentation,2025-09-15,2025-09-17,129,176,Low,31.16,True,No,Team Lead,Done
294,Meeting task #294,Urgently work on meeting for project #21.,user_10,user_7,Meeting,2025-09-15,2025-09-21,280,284,High,82.74,True,Yes,Developer,Done
295,Testing task #295, work on testing for project #37.,user_4,user_8,Testing,2025-09-06,2025-09-13,223,267,Medium,45.36,True,No,Developer,Done
296,Documentation task #296,Kindly work on documentation for project #38.,user_6,user_7,Documentation,2025-09-27,2025-10-04,246,245,Low,29.61,True,No,Developer,Done
297,Testing task #297, work on testing for project #19.,user_3,user_9,Testing,2025-09-24,2025-10-02,422,445,Medium,53.49,True,No,Manager,Done
298,Development task #298,Kindly work on development for project #46.,user_2,user_7,Development,2025-09-05,2025-09-10,183,217,Medium,44.61,True,No,QA Engineer,Done
299,Design task #299, work on design for project #35.,user_7,user_2,Design,2025-09-20,2025-09-28,358,430,Medium,52.19,True,No,QA Engineer,Done
300,Bug Fixing task #300,Kindly work on bug fixing for project #42.,user_6,user_9,Bug Fixing,2025-09-04,2025-09-08,396,456,Medium,49.44,True,No,Manager,Done
301,Testing task #301,Please work on testing for project #1.,user_1,user_10,Testing,2025-09-25,2025-10-01,467,547,Low,27.57,True,No,QA Engineer,Done
302,Bug Fixing task #302,Kindly work on bug fixing for project #23.,user_5,user_4,Bug Fixing,2025-09-15,2025-09-21,260,348,Low,31.6,True,No,Team Lead,Done
303,Bug Fixing task #303,Urgently work on bug fixing for project #20.,user_8,user_2,Bug Fixing,2025-09-14,2025-09-16,119,125,High,81.21,True,Yes,Developer,Done
304,Meeting task #304, work on meeting for project #21.,user_8,user_4,Meeting,2025-09-12,2025-09-20,109,191,Medium,49.16,True,No,QA Engineer,Done
305,Bug Fixing task #305,Kindly work on bug fixing for project #48.,user_5,user_1,Bug Fixing,2025-09-01,2025-09-07,391,388,Low,39.69,True,No,Manager,Done
306,Documentation task #306,Kindly work on documentation for project #26.,user_9,user_3,Documentation,2025-09-11,2025-09-20,278,366,Medium,41.76,True,No,Team Lead,Done
307,Development task #307, work on development for project #38.,user_3,user_3,Development,2025-09-13,2025-09-14,437,457,Medium,59.16,True,No,QA Engineer,Done
308,Design task #308,Please work on design for project #35.,user_7,user_1,Design,2025-09-07,2025-09-12,445,431,Low,31.13,True,No,Team Lead,Done
309,Documentation task #309,Urgently work on documentation for project #39.,user_6,user_6,Documentation,2025-09-15,2025-09-17,194,289,High,78.21,True,Yes,Team Lead,Done
310,Design task #310,Urgently work on design for project #40.,user_10,user_7,Design,2025-09-12,2025-09-18,294,308,Medium,66.97,True,Yes,Manager,Done
311,Testing task #311,Kindly work on testing for project #24.,user_2,user_3,Testing,2025-09-04,2025-09-08,216,215,Low,36.73,True,No,Developer,Done
312,Development task #312, work on development for project #28.,user_3,user_9,Development,2025-09-14,2025-09-24,130,247,Medium,56.48,True,No,QA Engineer,Done
313,Documentation task #313,Kindly work on documentation for project #12.,user_8,user_9,Documentation,2025-09-18,2025-09-21,310,353,Medium,52.38,True,No,Team Lead,Done
314,Meeting task #314,Kindly work on meeting for project #13.,user_8,user_10,Meeting,2025-09-28,2025-10-04,64,158,Medium,52.2,True,No,Manager,Done
315,Design task #315, work on design for project #11.,user_9,user_9,Design,2025-09-14,2025-09-22,272,355,Medium,59.58,True,No,QA Engineer,Done
316,Bug Fixing task #316,Urgently work on bug fixing for project #11.,user_10,user_1,Bug Fixing,2025-09-10,2025-09-11,200,227,High,70.32,True,Yes,Team Lead,Done
317,Design task #317,Urgently work on design for project #35.,user_10,user_8,Design,2025-09-19,2025-09-21,197,306,High,80.23,True,Yes,Manager,Done
318,Bug Fixing task #318,Urgently work on bug fixing for project #3.,user_8,user_9,Bug Fixing,2025-09-14,2025-09-16,436,469,Medium,65.35,True,Yes,Team Lead,Done
319,Design task #319,Kindly work on design for project #48.,user_5,user_6,Design,2025-09-15,2025-09-17,457,487,Medium,44.86,True,No,Manager,Done
320,Testing task #320,Kindly work on testing for project #4.,user_6,user_10,Testing,2025-09-06,2025-09-16,131,153,Low,38.05,True,No,QA Engineer,Done
321,Testing task #321,Urgently work on testing for project #19.,user_6,user_9,Testing,2025-09-20,2025-09-29,146,198,High,71.45,True,Yes,Developer,Done
322,Testing task #322,Kindly work on testing for project #45.,user_5,user_9,Testing,2025-09-05,2025-09-12,90,130,Medium,48.93,True,No,Manager,Done
323,Documentation task #323, work on documentation for project #10.,user_4,user_3,Documentation,2025-09-27,2025-10-01,449,519,Low,27.73,True,No,Developer,Done
324,Testing task #324, work on testing for project #33.,user_5,user_7,Testing,2025-09-15,2025-09-17,384,377,High,71.39,True,No,QA Engineer,Done
325,Development task #325,Please work on development for project #47.,user_5,user_6,Development,2025-09-16,2025-09-22,357,327,Low,24.91,True,No,QA Engineer,Done
326,Design task #326,Urgently work on design for project #21.,user_6,user_2,Design,2025-09-07,2025-09-14,168,264,Medium,51.79,True,Yes,QA Engineer,Done
327,Meeting task #327,Please work on meeting for project #3.,user_6,user_9,Meeting,2025-09-19,2025-09-27,463,520,Medium,57.37,True,No,Team Lead,Done
328,Bug Fixing task #328,Please work on bug fixing for project #28.,user_8,user_1,Bug Fixing,2025-09-30,2025-10-03,285,371,Medium,51.87,True,No,Manager,Done
329,Documentation task #329,Urgently work on documentation for project #6.,user_3,user_5,Documentation,2025-09-28,2025-10-03,107,169,High,79.36,True,Yes,Team Lead,Done
330,Meeting task #330, work on meeting for project #42.,user_3,user_1,Meeting,2025-09-21,2025-09-26,431,460,Medium,49.43,True,No,QA Engineer,Done
331,Bug Fixing task #331, work on bug fixing for project #1.,user_2,user_1,Bug Fixing,2025-09-16,2025-09-18,127,154,Low,39.82,True,No,Team Lead,Done
332,Bug Fixing task #332,Kindly work on bug fixing for project #25.,user_6,user_2,Bug Fixing,2025-09-23,2025-09-26,304,292,Low,26.54,True,No,QA Engineer,Done
333,Bug Fixing task #333,Kindly work on bug fixing for project #42.,user_2,user_2,Bug Fixing,2025-09-12,2025-09-17,130,197,Medium,41.14,True,No,Developer,Done
334,Development task #334,Kindly work on development for project #41.,user_3,user_2,Development,2025-09-20,2025-09-23,285,344,Low,29.84,True,No,Manager,Done
335,Development task #335,Kindly work on development for project #49.,user_3,user_7,Development,2025-09-28,2025-10-02,104,99,Medium,54.63,True,No,QA Engineer,Done
336,Bug Fixing task #336,Kindly work on bug fixing for project #18.,user_10,user_7,Bug Fixing,2025-09-14,2025-09-20,465,470,Low,37.79,True,No,Developer,Done
337,Development task #337,Kindly work on development for project #34.,user_2,user_4,Development,2025-09-25,2025-09-26,397,444,Low,27.62,True,No,Developer,Done
338,Testing task #338, work on testing for project #25.,user_9,user_4,Testing,2025-09-10,2025-09-11,461,492,Low,35.18,False,No,QA Engineer,Pending
339,Documentation task #339,Kindly work on documentation for project #25.,user_8,user_10,Documentation,2025-09-17,2025-09-18,244,295,Medium,46.19,True,No,Manager,Done
340,Testing task #340,Please work on testing for project #38.,user_7,user_6,Testing,2025-09-25,2025-10-03,454,442,Low,31.54,True,No,Team Lead,Done
341,Bug Fixing task #341,Urgently work on bug fixing for project #41.,user_1,user_5,Bug Fixing,2025-09-02,2025-09-03,464,535,Medium,57.67,False,Yes,Team Lead,In Progress
342,Design task #342,Kindly work on design for project #10.,user_7,user_2,Design,2025-09-09,2025-09-11,218,208,Medium,43.66,True,No,Team Lead,Done
343,Testing task #343,Please work on testing for project #16.,user_6,user_7,Testing,2025-09-10,2025-09-17,433,464,Medium,43.67,True,No,Manager,Done
344,Bug Fixing task #344,Kindly work on bug fixing for project #8.,user_7,user_2,Bug Fixing,2025-09-20,2025-09-30,88,137,Low,32.4,True,No,QA Engineer,Done
345,Bug Fixing task #345,Urgently work on bug fixing for project #11.,user_3,user_1,Bug Fixing,2025-09-16,2025-09-22,327,429,Medium,62.93,True,Yes,Team Lead,Done
346,Meeting task #346,Urgently work on meeting for project #34.,user_3,user_5,Meeting,2025-09-25,2025-09-26,231,310,High,73.48,True,Yes,Manager,Done
347,Bug Fixing task #347,Please work on bug fixing for project #32.,user_5,user_10,Bug Fixing,2025-09-16,2025-09-24,321,383,Low,18.28,True,No,Manager,Done
348,Testing task #348,Kindly work on testing for project #48.,user_3,user_6,Testing,2025-09-09,2025-09-11,353,352,Low,18.89,True,No,Team Lead,Done
349,Testing task #349, work on testing for project #10.,user_1,user_1,Testing,2025-09-08,2025-09-09,301,364,Low,29.22,True,No,Manager,Done
350,Documentation task #350,Urgently work on documentation for project #18.,user_1,user_9,Documentation,2025-09-08,2025-09-14,187,263,Medium,66.8,True,Yes,QA Engineer,Done
351,Bug Fixing task #351,Please work on bug fixing for project #26.,user_10,user_6,Bug Fixing,2025-09-17,2025-09-18,151,178,Medium,44.66,True,No,Manager,Done
352,Bug Fixing task #352,Please work on bug fixing for project #24.,user_8,user_5,Bug Fixing,2025-09-11,2025-09-13,343,429,Medium,62.13,True,No,Developer,Done
353,Documentation task #353,Urgently work on documentation for project #38.,user_5,user_10,Documentation,2025-09-24,2025-10-04,184,272,High,82.86,True,Yes,Developer,Done
354,Design task #354,Kindly work on design for project #35.,user_4,user_9,Design,2025-09-05,2025-09-06,269,245,Low,37.6,True,No,Team Lead,Done
355,Meeting task #355,Please work on meeting for project #14.,user_1,user_6,Meeting,2025-09-25,2025-10-02,437,485,Low,39.71,True,No,Manager,Done
356,Testing task #356,Please work on testing for project #3.,user_4,user_7,Testing,2025-09-02,2025-09-05,424,465,Low,24.96,True,No,QA Engineer,Done
357,Documentation task #357,Kindly work on documentation for project #41.,user_9,user_7,Documentation,2025-09-15,2025-09-17,357,351,Low,39.72,True,No,Developer,Done
358,Design task #358,Urgently work on design for project #21.,user_2,user_10,Design,2025-09-14,2025-09-17,181,225,Medium,65.67,True,Yes,Manager,Done
359,Design task #359,Kindly work on design for project #50.,user_6,user_6,Design,2025-09-09,2025-09-13,98,119,Medium,44.84,True,No,QA Engineer,Done
360,Testing task #360, work on testing for project #8.,user_2,user_3,Testing,2025-09-06,2025-09-14,298,348,Low,27.59,True,No,Manager,Done
361,Testing task #361,Please work on testing for project #11.,user_6,user_4,Testing,2025-09-10,2025-09-18,195,195,Medium,47.79,True,No,QA Engineer,Done
362,Development task #362,Kindly work on development for project #23.,user_5,user_10,Development,2025-09-07,2025-09-13,135,128,Medium,62.99,True,No,Manager,Done
363,Design task #363, work on design for project #36.,user_9,user_1,Design,2025-09-09,2025-09-12,75,148,Low,38.37,True,No,Developer,Done
364,Development task #364,Please work on development for project #1.,user_9,user_4,Development,2025-09-15,2025-09-17,471,476,Medium,46.03,True,No,Manager,Done
365,Bug Fixing task #365,Urgently work on bug fixing for project #5.,user_4,user_3,Bug Fixing,2025-09-27,2025-10-04,250,241,High,80.35,True,Yes,Team Lead,Done
366,Bug Fixing task #366,Please work on bug fixing for project #3.,user_2,user_4,Bug Fixing,2025-09-26,2025-09-29,107,161,Low,33.98,True,No,QA Engineer,Done
367,Design task #367, work on design for project #44.,user_1,user_3,Design,2025-09-27,2025-10-04,314,291,Medium,43.36,True,No,QA Engineer,Done
368,Design task #368, work on design for project #10.,user_3,user_6,Design,2025-09-30,2025-10-03,200,241,Medium,40.19,True,No,Team Lead,Done
369,Bug Fixing task #369, work on bug fixing for project #4.,user_10,user_10,Bug Fixing,2025-09-21,2025-09-26,315,390,Medium,41.47,True,No,Team Lead,Done
370,Bug Fixing task #370,Kindly work on bug fixing for project #41.,user_5,user_7,Bug Fixing,2025-09-14,2025-09-18,389,493,Low,28.4,True,No,Team Lead,Done
371,Testing task #371,Urgently work on testing for project #37.,user_1,user_7,Testing,2025-09-16,2025-09-25,460,554,High,70.37,True,Yes,Developer,Done
372,Testing task #372,Please work on testing for project #50.,user_6,user_7,Testing,2025-09-06,2025-09-07,223,249,Medium,47.47,True,No,Developer,Done
373,Meeting task #373,Please work on meeting for project #16.,user_1,user_8,Meeting,2025-09-25,2025-10-05,179,189,Medium,61.77,True,No,Developer,Done
374,Development task #374,Urgently work on development for project #12.,user_4,user_5,Development,2025-09-25,2025-09-29,354,423,High,84.39,True,Yes,Manager,Done
375,Documentation task #375,Urgently work on documentation for project #37.,user_4,user_10,Documentation,2025-09-26,2025-10-02,362,339,High,100.0,True,Yes,Developer,Done
376,Testing task #376,Kindly work on testing for project #32.,user_3,user_10,Testing,2025-09-27,2025-10-05,337,386,Low,28.49,True,No,Team Lead,Done
377,Bug Fixing task #377, work on bug fixing for project #1.,user_2,user_1,Bug Fixing,2025-09-20,2025-09-24,70,174,Medium,53.08,True,No,Team Lead,Done
