task_id,title,description,created_at,due_date,creator,assignee,priority,workload_hours,assignee_completed_tasks,assignee_avg_completion_days,status,days_to_due,is_overdue,text_raw,tokens,stems,lemmas
95,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-09-13 22:25:59.627850,2025-09-25 22:25:59.627850,diana,charlie,0,3,176,0.97,open,12,1,Write unit tests. Create responsive landing page for product X using Figma mockups.,"['write', 'unit', 'tests', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",write unit test creat respons land page product use figma mockup,write unit test create responsive landing page product using figma mockups
96,Customer email reply,Optimize slow queries causing high CPU usage on replica DB.,2025-09-27 22:25:59.627850,2025-10-13 22:25:59.627850,charlie,diana,0,12,199,2.98,in_progress,16,1,Customer email reply. Optimize slow queries causing high CPU usage on replica DB.,"['customer', 'email', 'reply', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",custom email repli optim slow queri caus high cpu usag replica db,customer email reply optimize slow query causing high cpu usage replica db
97,Design landing page,Respond to important client email about billing dispute.,2025-08-30 22:25:59.627850,2025-09-10 22:25:59.627850,alice,diana,0,12,136,4.21,open,11,1,Design landing page. Respond to important client email about billing dispute.,"['design', 'landing', 'page', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",design land page respond import client email bill disput,design landing page respond important client email billing dispute
98,Research new lib,Write unit tests for payment module to improve coverage.,2025-09-09 22:25:59.627850,2025-09-11 22:25:59.627850,bob,charlie,2,6,198,2.74,in_progress,2,1,Research new lib. Write unit tests for payment module to improve coverage.,"['research', 'new', 'lib', 'write', 'unit', 'tests', 'payment', 'module', 'improve', 'coverage']",research new lib write unit test payment modul improv coverag,research new lib write unit test payment module improve coverage
99,Fix login bug,Deploy new service to production cluster and monitor for errors.,2025-08-31 22:25:59.627850,2025-09-18 22:25:59.627850,bob,charlie,2,4,183,2.68,open,18,1,Fix login bug. Deploy new service to production cluster and monitor for errors.,"['fix', 'login', 'bug', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",fix login bug deploy new servic product cluster monitor error,fix login bug deploy new service production cluster monitor error
100,Plan sprint,Deploy new service to production cluster and monitor for errors.,2025-09-28 22:25:59.627850,2025-10-04 22:25:59.627850,charlie,alice,1,6,109,0.92,open,6,1,Plan sprint. Deploy new service to production cluster and monitor for errors.,"['plan', 'sprint', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",plan sprint deploy new servic product cluster monitor error,plan sprint deploy new service production cluster monitor error
101,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-09-24 22:25:59.627850,2025-09-29 22:25:59.627850,diana,charlie,1,6,185,1.73,in_progress,5,1,Write unit tests. Create responsive landing page for product X using Figma mockups.,"['write', 'unit', 'tests', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",write unit test creat respons land page product use figma mockup,write unit test create responsive landing page product using figma mockups
102,Write unit tests,Deploy new service to production cluster and monitor for errors.,2025-09-12 22:25:59.627850,2025-09-30 22:25:59.627850,bob,diana,0,2,158,2.79,open,18,1,Write unit tests. Deploy new service to production cluster and monitor for errors.,"['write', 'unit', 'tests', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",write unit test deploy new servic product cluster monitor error,write unit test deploy new service production cluster monitor error
103,Design landing page,Update package.json dependencies and run compatibility tests.,2025-10-02 22:25:59.627850,2025-10-16 22:25:59.627850,charlie,charlie,0,12,5,1.77,in_progress,14,0,Design landing page. Update package.json dependencies and run compatibility tests.,"['design', 'landing', 'page', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",design land page updat packag json depend run compat test,design landing page update package json dependency run compatibility test
104,Plan sprint,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-25 22:25:59.627850,2025-10-11 22:25:59.627850,bob,diana,0,6,128,2.05,done,16,0,Plan sprint. Plan sprint items and assign tasks to frontend/backend teams.,"['plan', 'sprint', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",plan sprint plan sprint item assign task frontend backend team,plan sprint plan sprint item assign task frontend backend team
105,Research new lib,Optimize slow queries causing high CPU usage on replica DB.,2025-09-12 22:25:59.627850,2025-09-23 22:25:59.627850,bob,bob,0,6,103,1.55,in_progress,11,1,Research new lib. Optimize slow queries causing high CPU usage on replica DB.,"['research', 'new', 'lib', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",research new lib optim slow queri caus high cpu usag replica db,research new lib optimize slow query causing high cpu usage replica db
106,Fix login bug,Respond to important client email about billing dispute.,2025-09-30 22:25:59.627850,2025-10-16 22:25:59.627850,diana,diana,2,8,171,4.91,in_progress,16,0,Fix login bug. Respond to important client email about billing dispute.,"['fix', 'login', 'bug', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",fix login bug respond import client email bill disput,fix login bug respond important client email billing dispute
107,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-15 22:25:59.627850,2025-10-04 22:25:59.627850,charlie,alice,2,12,117,0.95,in_progress,19,1,Fix login bug. Gather sales data and prepare report for stakeholders by Friday.,"['fix', 'login', 'bug', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",fix login bug gather sale data prepar report stakehold friday,fix login bug gather sale data prepare report stakeholder friday
108,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-09 22:25:59.627850,2025-09-14 22:25:59.627850,alice,diana,2,12,72,2.02,done,5,0,Fix login bug. Gather sales data and prepare report for stakeholders by Friday.,"['fix', 'login', 'bug', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",fix login bug gather sale data prepar report stakehold friday,fix login bug gather sale data prepare report stakeholder friday
109,Optimize DB queries,Create responsive landing page for product X using Figma mockups.,2025-10-07 22:25:59.627850,2025-10-18 22:25:59.627850,diana,charlie,0,8,188,4.49,in_progress,11,0,Optimize DB queries. Create responsive landing page for product X using Figma mockups.,"['optimize', 'db', 'queries', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",optim db queri creat respons land page product use figma mockup,optimize db query create responsive landing page product using figma mockups
110,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-22 22:25:59.627850,2025-09-25 22:25:59.627850,bob,charlie,2,2,196,0.91,open,3,1,Research new lib. User cannot login with social auth. Error 500 observed on POST /auth.,"['research', 'new', 'lib', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",research new lib user login social auth error 500 observ post auth,research new lib user login social auth error 500 observed post auth
111,Design landing page,Write unit tests for payment module to improve coverage.,2025-08-24 22:25:59.627850,2025-09-03 22:25:59.627850,alice,alice,0,3,19,1.82,in_progress,10,1,Design landing page. Write unit tests for payment module to improve coverage.,"['design', 'landing', 'page', 'write', 'unit', 'tests', 'payment', 'module', 'improve', 'coverage']",design land page write unit test payment modul improv coverag,design landing page write unit test payment module improve coverage
112,Optimize DB queries,Gather sales data and prepare report for stakeholders by Friday.,2025-08-29 22:25:59.627850,2025-09-15 22:25:59.627850,diana,bob,0,2,49,0.86,in_progress,17,1,Optimize DB queries. Gather sales data and prepare report for stakeholders by Friday.,"['optimize', 'db', 'queries', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",optim db queri gather sale data prepar report stakehold friday,optimize db query gather sale data prepare report stakeholder friday
113,Plan sprint,Deploy new service to production cluster and monitor for errors.,2025-09-14 22:25:59.627850,2025-10-03 22:25:59.627850,bob,bob,0,4,168,1.64,in_progress,19,1,Plan sprint. Deploy new service to production cluster and monitor for errors.,"['plan', 'sprint', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",plan sprint deploy new servic product cluster monitor error,plan sprint deploy new service production cluster monitor error
114,Fix login bug,Write unit tests for payment module to improve coverage.,2025-10-10 22:25:59.627850,2025-10-20 22:25:59.627850,bob,alice,2,4,93,4.94,in_progress,10,0,Fix login bug. Write unit tests for payment module to improve coverage.,"['fix', 'login', 'bug', 'write', 'unit', 'tests', 'payment', 'module', 'improve', 'coverage']",fix login bug write unit test payment modul improv coverag,fix login bug write unit test payment module improve coverage
115,Optimize DB queries,Update package.json dependencies and run compatibility tests.,2025-09-12 22:25:59.627850,2025-09-22 22:25:59.627850,bob,diana,0,12,128,0.98,in_progress,10,1,Optimize DB queries. Update package.json dependencies and run compatibility tests.,"['optimize', 'db', 'queries', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",optim db queri updat packag json depend run compat test,optimize db query update package json dependency run compatibility test
116,Plan sprint,Respond to important client email about billing dispute.,2025-09-19 22:25:59.627850,2025-09-29 22:25:59.627850,charlie,alice,0,12,173,2.28,open,10,1,Plan sprint. Respond to important client email about billing dispute.,"['plan', 'sprint', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",plan sprint respond import client email bill disput,plan sprint respond important client email billing dispute
117,Plan sprint,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-11 22:25:59.627850,2025-10-31 22:25:59.627850,diana,charlie,0,12,63,3.23,in_progress,20,0,Plan sprint. User cannot login with social auth. Error 500 observed on POST /auth.,"['plan', 'sprint', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",plan sprint user login social auth error 500 observ post auth,plan sprint user login social auth error 500 observed post auth
118,Deploy microservice,Deploy new service to production cluster and monitor for errors.,2025-09-22 22:25:59.627850,2025-10-01 22:25:59.627850,bob,alice,2,8,170,0.68,in_progress,9,1,Deploy microservice. Deploy new service to production cluster and monitor for errors.,"['deploy', 'microservice', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",deploy microservic deploy new servic product cluster monitor error,deploy microservice deploy new service production cluster monitor error
119,Fix login bug,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-06 22:25:59.627850,2025-09-11 22:25:59.627850,alice,charlie,2,3,196,2.37,open,5,1,Fix login bug. Plan sprint items and assign tasks to frontend/backend teams.,"['fix', 'login', 'bug', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",fix login bug plan sprint item assign task frontend backend team,fix login bug plan sprint item assign task frontend backend team
120,Prepare monthly report,Investigate new ML library for text embeddings and feasibility.,2025-10-09 22:25:59.627850,2025-10-21 22:25:59.627850,charlie,bob,0,3,128,4.85,in_progress,12,0,Prepare monthly report. Investigate new ML library for text embeddings and feasibility.,"['prepare', 'monthly', 'report', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",prepar monthli report investig new ml librari text embed feasibl,prepare monthly report investigate new ml library text embeddings feasibility
121,Customer email reply,Create responsive landing page for product X using Figma mockups.,2025-09-12 22:25:59.627850,2025-09-15 22:25:59.627850,bob,bob,2,12,178,3.76,in_progress,3,1,Customer email reply. Create responsive landing page for product X using Figma mockups.,"['customer', 'email', 'reply', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",custom email repli creat respons land page product use figma mockup,customer email reply create responsive landing page product using figma mockups
122,Research new lib,Respond to important client email about billing dispute.,2025-08-19 22:25:59.627850,2025-09-01 22:25:59.627850,alice,charlie,0,6,36,2.55,done,13,0,Research new lib. Respond to important client email about billing dispute.,"['research', 'new', 'lib', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",research new lib respond import client email bill disput,research new lib respond important client email billing dispute
123,Update dependencies,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-07 22:25:59.627850,2025-09-19 22:25:59.627850,alice,bob,0,4,11,3.29,done,12,0,Update dependencies. Plan sprint items and assign tasks to frontend/backend teams.,"['update', 'dependencies', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",updat depend plan sprint item assign task frontend backend team,update dependency plan sprint item assign task frontend backend team
124,Customer email reply,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-28 22:25:59.627850,2025-08-31 22:25:59.627850,diana,charlie,2,8,109,1.03,open,3,1,Customer email reply. Plan sprint items and assign tasks to frontend/backend teams.,"['customer', 'email', 'reply', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",custom email repli plan sprint item assign task frontend backend team,customer email reply plan sprint item assign task frontend backend team
125,Fix login bug,Update package.json dependencies and run compatibility tests.,2025-09-14 22:25:59.627850,2025-09-18 22:25:59.627850,alice,bob,2,6,39,2.25,in_progress,4,1,Fix login bug. Update package.json dependencies and run compatibility tests.,"['fix', 'login', 'bug', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",fix login bug updat packag json depend run compat test,fix login bug update package json dependency run compatibility test
126,Research new lib,Optimize slow queries causing high CPU usage on replica DB.,2025-09-20 22:25:59.627850,2025-09-25 22:25:59.627850,diana,alice,1,12,130,3.27,in_progress,5,1,Research new lib. Optimize slow queries causing high CPU usage on replica DB.,"['research', 'new', 'lib', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",research new lib optim slow queri caus high cpu usag replica db,research new lib optimize slow query causing high cpu usage replica db
127,Fix login bug,Respond to important client email about billing dispute.,2025-08-27 22:25:59.627850,2025-09-11 22:25:59.627850,diana,bob,2,12,97,0.95,done,15,0,Fix login bug. Respond to important client email about billing dispute.,"['fix', 'login', 'bug', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",fix login bug respond import client email bill disput,fix login bug respond important client email billing dispute
128,Customer email reply,Investigate new ML library for text embeddings and feasibility.,2025-10-10 22:25:59.627850,2025-10-22 22:25:59.627850,alice,diana,0,3,53,4.86,in_progress,12,0,Customer email reply. Investigate new ML library for text embeddings and feasibility.,"['customer', 'email', 'reply', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",custom email repli investig new ml librari text embed feasibl,customer email reply investigate new ml library text embeddings feasibility
129,Design landing page,Deploy new service to production cluster and monitor for errors.,2025-09-24 22:25:59.627850,2025-10-14 22:25:59.627850,alice,alice,0,12,90,1.6,open,20,0,Design landing page. Deploy new service to production cluster and monitor for errors.,"['design', 'landing', 'page', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",design land page deploy new servic product cluster monitor error,design landing page deploy new service production cluster monitor error
130,Plan sprint,Deploy new service to production cluster and monitor for errors.,2025-08-18 22:25:59.627850,2025-09-05 22:25:59.627850,bob,bob,0,12,64,1.98,open,18,1,Plan sprint. Deploy new service to production cluster and monitor for errors.,"['plan', 'sprint', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",plan sprint deploy new servic product cluster monitor error,plan sprint deploy new service production cluster monitor error
131,Plan sprint,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-31 22:25:59.627850,2025-09-05 22:25:59.627850,bob,charlie,1,12,49,0.99,open,5,1,Plan sprint. User cannot login with social auth. Error 500 observed on POST /auth.,"['plan', 'sprint', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",plan sprint user login social auth error 500 observ post auth,plan sprint user login social auth error 500 observed post auth
132,Prepare monthly report,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-05 22:25:59.627850,2025-09-13 22:25:59.627850,charlie,alice,0,2,72,0.74,done,8,0,Prepare monthly report. User cannot login with social auth. Error 500 observed on POST /auth.,"['prepare', 'monthly', 'report', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",prepar monthli report user login social auth error 500 observ post auth,prepare monthly report user login social auth error 500 observed post auth
133,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-08-21 22:25:59.627850,2025-08-24 22:25:59.627850,diana,diana,2,12,97,2.81,open,3,1,Optimize DB queries. Investigate new ML library for text embeddings and feasibility.,"['optimize', 'db', 'queries', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",optim db queri investig new ml librari text embed feasibl,optimize db query investigate new ml library text embeddings feasibility
134,Write unit tests,Investigate new ML library for text embeddings and feasibility.,2025-08-28 22:25:59.627850,2025-09-17 22:25:59.627850,alice,charlie,0,4,169,4.84,open,20,1,Write unit tests. Investigate new ML library for text embeddings and feasibility.,"['write', 'unit', 'tests', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",write unit test investig new ml librari text embed feasibl,write unit test investigate new ml library text embeddings feasibility
135,Write unit tests,Optimize slow queries causing high CPU usage on replica DB.,2025-09-10 22:25:59.627850,2025-09-14 22:25:59.627850,diana,diana,1,1,25,1.95,open,4,1,Write unit tests. Optimize slow queries causing high CPU usage on replica DB.,"['write', 'unit', 'tests', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",write unit test optim slow queri caus high cpu usag replica db,write unit test optimize slow query causing high cpu usage replica db
136,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-08-31 22:25:59.627850,2025-09-20 22:25:59.627850,charlie,diana,0,6,140,1.83,done,20,0,Design landing page. Gather sales data and prepare report for stakeholders by Friday.,"['design', 'landing', 'page', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",design land page gather sale data prepar report stakehold friday,design landing page gather sale data prepare report stakeholder friday
137,Plan sprint,Optimize slow queries causing high CPU usage on replica DB.,2025-08-20 22:25:59.627850,2025-08-24 22:25:59.627850,bob,diana,1,4,63,2.36,in_progress,4,1,Plan sprint. Optimize slow queries causing high CPU usage on replica DB.,"['plan', 'sprint', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",plan sprint optim slow queri caus high cpu usag replica db,plan sprint optimize slow query causing high cpu usage replica db
138,Optimize DB queries,Optimize slow queries causing high CPU usage on replica DB.,2025-09-29 22:25:59.627850,2025-10-03 22:25:59.627850,charlie,diana,1,3,175,1.65,open,4,1,Optimize DB queries. Optimize slow queries causing high CPU usage on replica DB.,"['optimize', 'db', 'queries', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",optim db queri optim slow queri caus high cpu usag replica db,optimize db query optimize slow query causing high cpu usage replica db
139,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-08-19 22:25:59.627850,2025-08-22 22:25:59.627850,alice,diana,2,1,195,3.82,open,3,1,Write unit tests. Create responsive landing page for product X using Figma mockups.,"['write', 'unit', 'tests', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",write unit test creat respons land page product use figma mockup,write unit test create responsive landing page product using figma mockups
140,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-20 22:25:59.627850,2025-10-08 22:25:59.627850,charlie,alice,0,4,95,4.43,in_progress,18,1,Research new lib. User cannot login with social auth. Error 500 observed on POST /auth.,"['research', 'new', 'lib', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",research new lib user login social auth error 500 observ post auth,research new lib user login social auth error 500 observed post auth
141,Fix login bug,Update package.json dependencies and run compatibility tests.,2025-09-21 22:25:59.627850,2025-10-01 22:25:59.627850,charlie,alice,2,6,134,1.46,done,10,0,Fix login bug. Update package.json dependencies and run compatibility tests.,"['fix', 'login', 'bug', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",fix login bug updat packag json depend run compat test,fix login bug update package json dependency run compatibility test
142,Write unit tests,Deploy new service to production cluster and monitor for errors.,2025-10-07 22:25:59.627850,2025-10-11 22:25:59.627850,charlie,charlie,1,1,200,1.75,open,4,1,Write unit tests. Deploy new service to production cluster and monitor for errors.,"['write', 'unit', 'tests', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",write unit test deploy new servic product cluster monitor error,write unit test deploy new service production cluster monitor error
143,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-10-02 22:25:59.627850,2025-10-22 22:25:59.627850,alice,charlie,0,1,51,1.73,in_progress,20,0,Optimize DB queries. Investigate new ML library for text embeddings and feasibility.,"['optimize', 'db', 'queries', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",optim db queri investig new ml librari text embed feasibl,optimize db query investigate new ml library text embeddings feasibility
144,Customer email reply,Respond to important client email about billing dispute.,2025-08-14 22:25:59.627850,2025-08-20 22:25:59.627850,bob,diana,1,1,41,3.83,open,6,1,Customer email reply. Respond to important client email about billing dispute.,"['customer', 'email', 'reply', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",custom email repli respond import client email bill disput,customer email reply respond important client email billing dispute
145,Design landing page,Investigate new ML library for text embeddings and feasibility.,2025-08-27 22:25:59.627850,2025-09-09 22:25:59.627850,diana,diana,0,3,45,2.17,done,13,0,Design landing page. Investigate new ML library for text embeddings and feasibility.,"['design', 'landing', 'page', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",design land page investig new ml librari text embed feasibl,design landing page investigate new ml library text embeddings feasibility
146,Customer email reply,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-21 22:25:59.627850,2025-09-24 22:25:59.627850,alice,bob,2,2,198,3.28,done,3,0,Customer email reply. Plan sprint items and assign tasks to frontend/backend teams.,"['customer', 'email', 'reply', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",custom email repli plan sprint item assign task frontend backend team,customer email reply plan sprint item assign task frontend backend team
147,Design landing page,Update package.json dependencies and run compatibility tests.,2025-09-11 22:25:59.627850,2025-09-25 22:25:59.627850,diana,diana,0,4,74,1.47,done,14,0,Design landing page. Update package.json dependencies and run compatibility tests.,"['design', 'landing', 'page', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",design land page updat packag json depend run compat test,design landing page update package json dependency run compatibility test
148,Design landing page,Respond to important client email about billing dispute.,2025-09-10 22:25:59.627850,2025-09-14 22:25:59.627850,charlie,diana,1,6,175,1.89,open,4,1,Design landing page. Respond to important client email about billing dispute.,"['design', 'landing', 'page', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",design land page respond import client email bill disput,design landing page respond important client email billing dispute
149,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-17 22:25:59.627850,2025-08-18 22:25:59.627850,bob,charlie,2,2,40,3.94,in_progress,1,1,Optimize DB queries. Plan sprint items and assign tasks to frontend/backend teams.,"['optimize', 'db', 'queries', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",optim db queri plan sprint item assign task frontend backend team,optimize db query plan sprint item assign task frontend backend team
150,Customer email reply,Create responsive landing page for product X using Figma mockups.,2025-08-14 22:25:59.627850,2025-08-30 22:25:59.627850,diana,bob,0,2,102,2.9,open,16,1,Customer email reply. Create responsive landing page for product X using Figma mockups.,"['customer', 'email', 'reply', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",custom email repli creat respons land page product use figma mockup,customer email reply create responsive landing page product using figma mockups
151,Research new lib,Investigate new ML library for text embeddings and feasibility.,2025-10-06 22:25:59.627850,2025-10-18 22:25:59.627850,alice,diana,0,12,194,0.69,open,12,0,Research new lib. Investigate new ML library for text embeddings and feasibility.,"['research', 'new', 'lib', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",research new lib investig new ml librari text embed feasibl,research new lib investigate new ml library text embeddings feasibility
152,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-10-08 22:25:59.627850,2025-10-19 22:25:59.627850,diana,diana,0,8,168,2.38,open,11,0,Write unit tests. Create responsive landing page for product X using Figma mockups.,"['write', 'unit', 'tests', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",write unit test creat respons land page product use figma mockup,write unit test create responsive landing page product using figma mockups
153,Optimize DB queries,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-03 22:25:59.627850,2025-09-09 22:25:59.627850,diana,charlie,1,1,116,4.3,open,6,1,Optimize DB queries. User cannot login with social auth. Error 500 observed on POST /auth.,"['optimize', 'db', 'queries', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",optim db queri user login social auth error 500 observ post auth,optimize db query user login social auth error 500 observed post auth
154,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-08 22:25:59.627850,2025-09-25 22:25:59.627850,alice,diana,0,12,84,3.86,open,17,1,Optimize DB queries. Plan sprint items and assign tasks to frontend/backend teams.,"['optimize', 'db', 'queries', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",optim db queri plan sprint item assign task frontend backend team,optimize db query plan sprint item assign task frontend backend team
155,Customer email reply,Gather sales data and prepare report for stakeholders by Friday.,2025-08-18 22:25:59.627850,2025-09-04 22:25:59.627850,alice,bob,0,12,94,2.08,done,17,0,Customer email reply. Gather sales data and prepare report for stakeholders by Friday.,"['customer', 'email', 'reply', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",custom email repli gather sale data prepar report stakehold friday,customer email reply gather sale data prepare report stakeholder friday
156,Prepare monthly report,Deploy new service to production cluster and monitor for errors.,2025-08-20 22:25:59.627850,2025-08-25 22:25:59.627850,charlie,bob,1,2,159,1.19,done,5,0,Prepare monthly report. Deploy new service to production cluster and monitor for errors.,"['prepare', 'monthly', 'report', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",prepar monthli report deploy new servic product cluster monitor error,prepare monthly report deploy new service production cluster monitor error
157,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-10-13 22:25:59.627850,2025-10-29 22:25:59.627850,diana,diana,0,8,149,3.39,done,16,0,Design landing page. Gather sales data and prepare report for stakeholders by Friday.,"['design', 'landing', 'page', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",design land page gather sale data prepar report stakehold friday,design landing page gather sale data prepare report stakeholder friday
158,Customer email reply,Respond to important client email about billing dispute.,2025-08-23 22:25:59.627850,2025-09-07 22:25:59.627850,alice,diana,0,4,166,1.86,in_progress,15,1,Customer email reply. Respond to important client email about billing dispute.,"['customer', 'email', 'reply', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",custom email repli respond import client email bill disput,customer email reply respond important client email billing dispute
159,Plan sprint,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-05 22:25:59.627850,2025-09-22 22:25:59.627850,alice,charlie,0,4,120,0.67,in_progress,17,1,Plan sprint. User cannot login with social auth. Error 500 observed on POST /auth.,"['plan', 'sprint', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",plan sprint user login social auth error 500 observ post auth,plan sprint user login social auth error 500 observed post auth
160,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-09-24 22:25:59.627850,2025-09-27 22:25:59.627850,diana,diana,2,6,146,4.79,done,3,0,Update dependencies. Create responsive landing page for product X using Figma mockups.,"['update', 'dependencies', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",updat depend creat respons land page product use figma mockup,update dependency create responsive landing page product using figma mockups
161,Fix login bug,Write unit tests for payment module to improve coverage.,2025-10-11 22:25:59.627850,2025-10-30 22:25:59.627850,bob,charlie,2,6,126,2.76,open,19,0,Fix login bug. Write unit tests for payment module to improve coverage.,"['fix', 'login', 'bug', 'write', 'unit', 'tests', 'payment', 'module', 'improve', 'coverage']",fix login bug write unit test payment modul improv coverag,fix login bug write unit test payment module improve coverage
162,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-10-04 22:25:59.627850,2025-10-15 22:25:59.627850,alice,bob,0,1,68,3.68,in_progress,11,0,Write unit tests. Create responsive landing page for product X using Figma mockups.,"['write', 'unit', 'tests', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",write unit test creat respons land page product use figma mockup,write unit test create responsive landing page product using figma mockups
